    ,name                                      ,class_name              ,input_shape          ,output_shape         ,nb_params
1   ,_conv_stem.static_padding                 ,ZeroPad2d               ,"(-1, 3, 224, 224)"  ,"(-1, 3, 225, 225)"  ,0
2   ,_conv_stem                                ,Conv2dStaticSamePadding ,"(-1, 3, 224, 224)"  ,"(-1, 32, 112, 112)" ,tensor(864)
3   ,_bn0                                      ,BatchNorm2d             ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,tensor(64)
4   ,_blocks.0._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 32, 112, 112)" ,"(-1, 32, 114, 114)" ,0
5   ,_blocks.0._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,tensor(288)
6   ,_blocks.0._bn1                            ,BatchNorm2d             ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,tensor(64)
7   ,_blocks.0._se_reduce.static_padding       ,Identity                ,"(-1, 32, 1, 1)"     ,"(-1, 32, 1, 1)"     ,0
8   ,_blocks.0._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 32, 1, 1)"     ,"(-1, 8, 1, 1)"      ,tensor(264)
9   ,_blocks.0._se_expand.static_padding       ,Identity                ,"(-1, 8, 1, 1)"      ,"(-1, 8, 1, 1)"      ,0
10  ,_blocks.0._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 8, 1, 1)"      ,"(-1, 32, 1, 1)"     ,tensor(288)
11  ,_blocks.0._project_conv.static_padding    ,Identity                ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,0
12  ,_blocks.0._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 32, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(512)
13  ,_blocks.0._bn2                            ,BatchNorm2d             ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(32)
14  ,_blocks.0                                 ,MBConvBlock             ,"(-1, 32, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(1448)
15  ,_blocks.1._expand_conv.static_padding     ,Identity                ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,0
16  ,_blocks.1._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 16, 112, 112)" ,"(-1, 96, 112, 112)" ,tensor(1536)
17  ,_blocks.1._bn0                            ,BatchNorm2d             ,"(-1, 96, 112, 112)" ,"(-1, 96, 112, 112)" ,tensor(192)
18  ,_blocks.1._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 96, 112, 112)" ,"(-1, 96, 113, 113)" ,0
19  ,_blocks.1._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 96, 112, 112)" ,"(-1, 96, 56, 56)"   ,tensor(864)
20  ,_blocks.1._bn1                            ,BatchNorm2d             ,"(-1, 96, 56, 56)"   ,"(-1, 96, 56, 56)"   ,tensor(192)
21  ,_blocks.1._se_reduce.static_padding       ,Identity                ,"(-1, 96, 1, 1)"     ,"(-1, 96, 1, 1)"     ,0
22  ,_blocks.1._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 96, 1, 1)"     ,"(-1, 4, 1, 1)"      ,tensor(388)
23  ,_blocks.1._se_expand.static_padding       ,Identity                ,"(-1, 4, 1, 1)"      ,"(-1, 4, 1, 1)"      ,0
24  ,_blocks.1._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 4, 1, 1)"      ,"(-1, 96, 1, 1)"     ,tensor(480)
25  ,_blocks.1._project_conv.static_padding    ,Identity                ,"(-1, 96, 56, 56)"   ,"(-1, 96, 56, 56)"   ,0
26  ,_blocks.1._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 96, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(2304)
27  ,_blocks.1._bn2                            ,BatchNorm2d             ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(48)
28  ,_blocks.1                                 ,MBConvBlock             ,"(-1, 16, 112, 112)" ,"(-1, 24, 56, 56)"   ,tensor(6004)
29  ,_blocks.2._expand_conv.static_padding     ,Identity                ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,0
30  ,_blocks.2._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 24, 56, 56)"   ,"(-1, 144, 56, 56)"  ,tensor(3456)
31  ,_blocks.2._bn0                            ,BatchNorm2d             ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,tensor(288)
32  ,_blocks.2._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 144, 56, 56)"  ,"(-1, 144, 58, 58)"  ,0
33  ,_blocks.2._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,tensor(1296)
34  ,_blocks.2._bn1                            ,BatchNorm2d             ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,tensor(288)
35  ,_blocks.2._se_reduce.static_padding       ,Identity                ,"(-1, 144, 1, 1)"    ,"(-1, 144, 1, 1)"    ,0
36  ,_blocks.2._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 144, 1, 1)"    ,"(-1, 6, 1, 1)"      ,tensor(870)
37  ,_blocks.2._se_expand.static_padding       ,Identity                ,"(-1, 6, 1, 1)"      ,"(-1, 6, 1, 1)"      ,0
38  ,_blocks.2._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 6, 1, 1)"      ,"(-1, 144, 1, 1)"    ,tensor(1008)
39  ,_blocks.2._project_conv.static_padding    ,Identity                ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,0
40  ,_blocks.2._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 144, 56, 56)"  ,"(-1, 24, 56, 56)"   ,tensor(3456)
41  ,_blocks.2._bn2                            ,BatchNorm2d             ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(48)
42  ,_blocks.2                                 ,MBConvBlock             ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(10710)
43  ,_blocks.3._expand_conv.static_padding     ,Identity                ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,0
44  ,_blocks.3._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 24, 56, 56)"   ,"(-1, 144, 56, 56)"  ,tensor(3456)
45  ,_blocks.3._bn0                            ,BatchNorm2d             ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,tensor(288)
46  ,_blocks.3._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 144, 56, 56)"  ,"(-1, 144, 59, 59)"  ,0
47  ,_blocks.3._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 144, 56, 56)"  ,"(-1, 144, 28, 28)"  ,tensor(3600)
48  ,_blocks.3._bn1                            ,BatchNorm2d             ,"(-1, 144, 28, 28)"  ,"(-1, 144, 28, 28)"  ,tensor(288)
49  ,_blocks.3._se_reduce.static_padding       ,Identity                ,"(-1, 144, 1, 1)"    ,"(-1, 144, 1, 1)"    ,0
50  ,_blocks.3._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 144, 1, 1)"    ,"(-1, 6, 1, 1)"      ,tensor(870)
51  ,_blocks.3._se_expand.static_padding       ,Identity                ,"(-1, 6, 1, 1)"      ,"(-1, 6, 1, 1)"      ,0
52  ,_blocks.3._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 6, 1, 1)"      ,"(-1, 144, 1, 1)"    ,tensor(1008)
53  ,_blocks.3._project_conv.static_padding    ,Identity                ,"(-1, 144, 28, 28)"  ,"(-1, 144, 28, 28)"  ,0
54  ,_blocks.3._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 144, 28, 28)"  ,"(-1, 40, 28, 28)"   ,tensor(5760)
55  ,_blocks.3._bn2                            ,BatchNorm2d             ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(80)
56  ,_blocks.3                                 ,MBConvBlock             ,"(-1, 24, 56, 56)"   ,"(-1, 40, 28, 28)"   ,tensor(15350)
57  ,_blocks.4._expand_conv.static_padding     ,Identity                ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,0
58  ,_blocks.4._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 40, 28, 28)"   ,"(-1, 240, 28, 28)"  ,tensor(9600)
59  ,_blocks.4._bn0                            ,BatchNorm2d             ,"(-1, 240, 28, 28)"  ,"(-1, 240, 28, 28)"  ,tensor(480)
60  ,_blocks.4._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 240, 28, 28)"  ,"(-1, 240, 32, 32)"  ,0
61  ,_blocks.4._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 240, 28, 28)"  ,"(-1, 240, 28, 28)"  ,tensor(6000)
62  ,_blocks.4._bn1                            ,BatchNorm2d             ,"(-1, 240, 28, 28)"  ,"(-1, 240, 28, 28)"  ,tensor(480)
63  ,_blocks.4._se_reduce.static_padding       ,Identity                ,"(-1, 240, 1, 1)"    ,"(-1, 240, 1, 1)"    ,0
64  ,_blocks.4._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 240, 1, 1)"    ,"(-1, 10, 1, 1)"     ,tensor(2410)
65  ,_blocks.4._se_expand.static_padding       ,Identity                ,"(-1, 10, 1, 1)"     ,"(-1, 10, 1, 1)"     ,0
66  ,_blocks.4._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 10, 1, 1)"     ,"(-1, 240, 1, 1)"    ,tensor(2640)
67  ,_blocks.4._project_conv.static_padding    ,Identity                ,"(-1, 240, 28, 28)"  ,"(-1, 240, 28, 28)"  ,0
68  ,_blocks.4._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 240, 28, 28)"  ,"(-1, 40, 28, 28)"   ,tensor(9600)
69  ,_blocks.4._bn2                            ,BatchNorm2d             ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(80)
70  ,_blocks.4                                 ,MBConvBlock             ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(31290)
71  ,_blocks.5._expand_conv.static_padding     ,Identity                ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,0
72  ,_blocks.5._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 40, 28, 28)"   ,"(-1, 240, 28, 28)"  ,tensor(9600)
73  ,_blocks.5._bn0                            ,BatchNorm2d             ,"(-1, 240, 28, 28)"  ,"(-1, 240, 28, 28)"  ,tensor(480)
74  ,_blocks.5._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 240, 28, 28)"  ,"(-1, 240, 29, 29)"  ,0
75  ,_blocks.5._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 240, 28, 28)"  ,"(-1, 240, 14, 14)"  ,tensor(2160)
76  ,_blocks.5._bn1                            ,BatchNorm2d             ,"(-1, 240, 14, 14)"  ,"(-1, 240, 14, 14)"  ,tensor(480)
77  ,_blocks.5._se_reduce.static_padding       ,Identity                ,"(-1, 240, 1, 1)"    ,"(-1, 240, 1, 1)"    ,0
78  ,_blocks.5._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 240, 1, 1)"    ,"(-1, 10, 1, 1)"     ,tensor(2410)
79  ,_blocks.5._se_expand.static_padding       ,Identity                ,"(-1, 10, 1, 1)"     ,"(-1, 10, 1, 1)"     ,0
80  ,_blocks.5._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 10, 1, 1)"     ,"(-1, 240, 1, 1)"    ,tensor(2640)
81  ,_blocks.5._project_conv.static_padding    ,Identity                ,"(-1, 240, 14, 14)"  ,"(-1, 240, 14, 14)"  ,0
82  ,_blocks.5._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 240, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(19200)
83  ,_blocks.5._bn2                            ,BatchNorm2d             ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
84  ,_blocks.5                                 ,MBConvBlock             ,"(-1, 40, 28, 28)"   ,"(-1, 80, 14, 14)"   ,tensor(37130)
85  ,_blocks.6._expand_conv.static_padding     ,Identity                ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
86  ,_blocks.6._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 80, 14, 14)"   ,"(-1, 480, 14, 14)"  ,tensor(38400)
87  ,_blocks.6._bn0                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
88  ,_blocks.6._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 480, 14, 14)"  ,"(-1, 480, 16, 16)"  ,0
89  ,_blocks.6._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(4320)
90  ,_blocks.6._bn1                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
91  ,_blocks.6._se_reduce.static_padding       ,Identity                ,"(-1, 480, 1, 1)"    ,"(-1, 480, 1, 1)"    ,0
92  ,_blocks.6._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 480, 1, 1)"    ,"(-1, 20, 1, 1)"     ,tensor(9620)
93  ,_blocks.6._se_expand.static_padding       ,Identity                ,"(-1, 20, 1, 1)"     ,"(-1, 20, 1, 1)"     ,0
94  ,_blocks.6._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 20, 1, 1)"     ,"(-1, 480, 1, 1)"    ,tensor(10080)
95  ,_blocks.6._project_conv.static_padding    ,Identity                ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,0
96  ,_blocks.6._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(38400)
97  ,_blocks.6._bn2                            ,BatchNorm2d             ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
98  ,_blocks.6                                 ,MBConvBlock             ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(102900)
99  ,_blocks.7._expand_conv.static_padding     ,Identity                ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
100 ,_blocks.7._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 80, 14, 14)"   ,"(-1, 480, 14, 14)"  ,tensor(38400)
101 ,_blocks.7._bn0                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
102 ,_blocks.7._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 480, 14, 14)"  ,"(-1, 480, 16, 16)"  ,0
103 ,_blocks.7._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(4320)
104 ,_blocks.7._bn1                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
105 ,_blocks.7._se_reduce.static_padding       ,Identity                ,"(-1, 480, 1, 1)"    ,"(-1, 480, 1, 1)"    ,0
106 ,_blocks.7._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 480, 1, 1)"    ,"(-1, 20, 1, 1)"     ,tensor(9620)
107 ,_blocks.7._se_expand.static_padding       ,Identity                ,"(-1, 20, 1, 1)"     ,"(-1, 20, 1, 1)"     ,0
108 ,_blocks.7._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 20, 1, 1)"     ,"(-1, 480, 1, 1)"    ,tensor(10080)
109 ,_blocks.7._project_conv.static_padding    ,Identity                ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,0
110 ,_blocks.7._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(38400)
111 ,_blocks.7._bn2                            ,BatchNorm2d             ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
112 ,_blocks.7                                 ,MBConvBlock             ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(102900)
113 ,_blocks.8._expand_conv.static_padding     ,Identity                ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
